Name ,Friendliness,Quality of Materials,Communication Skills,Proficiency,Types of Assignments,Courses
Dr. Eddie Jessup,4,5,3,3,quiz,Introduction to Python
Dr. Rangdon Robert,4,4,3,2,quiz,Introduction to Python
Dr. William Dyre,1,3,4,4,quiz,Introduction to Python
Dr. Gervase Fen,3,2,4,3,quiz,Introduction to Python
Dr. Digory Kirk,5,1,3,1,quiz,Introduction to Python
Dr. Collin Hearthman,1,3,5,5,assignments,Introduction to Python
Dr. Hari Seldon,2,3,2,2,assignments,Introduction to Python
Dr. Minerva ,2,4,3,3,assignments,Introduction to Python
Dr. Shinku Das,3,1,4,5,assignments,Introduction to Python
Dr. Michel,4,2,2,4,assignments,Introduction to Python
Dr. Elwin Ramson,4,3,3,3,quiz,Fluid Dynamics
Dr. Fell Ross,2,2,3,4,quiz,Fluid Dynamics
Dr. Alexander Cook,2,3,3,3,assignments,Fluid Dynamics
Dr. Jannet Rey,3,5,4,2,assignments,Fluid Dynamics
Dr. Sanderson,2,3,4,2,assignments,Fluid Dynamics
Dr. Parker Pen,2,2,4,3,assignments,Fluid Dynamics
Dr. Finlay Cell,2,2,3,5,assignments,Fluid Dynamics
Dr.Edward George,1,4,3,4,assignments,Fluid Dynamics
Dr.Stephen Maturin,2,2,3,5,quiz,Microprocessors
Dr. Jack Stapleton,4,2,4,3,quiz,Microprocessors
Dr. Lao Ban,3,5,4,2,quiz,Microprocessors
Dr. Almasaro,2,2,3,4,quiz,Microprocessors
Dr. Jim Parsons,1,2,4,4,quiz,Microprocessors
Dr. Glas,3,2,4,2,assignments,Microprocessors
Dr. Grannet,3,4,4,2,assignments,Microprocessors
Dr. Gratlan,2,3,4,5,assignments,Microprocessors
Dr. Sarah Lynch,2,2,2,4,assignments,Microprocessors
